Study ID	Patient ID	Sample ID	MDM2: mRNA expression z-scores relative to normal samples (log RNA Seq V2 RSEM)
ucec_tcga_pan_can_atlas_2018	TCGA-2E-A9G8	TCGA-2E-A9G8-01	0.7863
ucec_tcga_pan_can_atlas_2018	TCGA-4E-A92E	TCGA-4E-A92E-01	0.8534
ucec_tcga_pan_can_atlas_2018	TCGA-5B-A90C	TCGA-5B-A90C-01	-1.3953
ucec_tcga_pan_can_atlas_2018	TCGA-5S-A9Q8	TCGA-5S-A9Q8-01	-0.8097
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0G1	TCGA-A5-A0G1-01	1.0782
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0G2	TCGA-A5-A0G2-01	0.3836
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0G3	TCGA-A5-A0G3-01	-2.6037
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0G5	TCGA-A5-A0G5-01	-0.9887
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0G9	TCGA-A5-A0G9-01	-0.0796
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GA	TCGA-A5-A0GA-01	1.619
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GB	TCGA-A5-A0GB-01	1.3517
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GD	TCGA-A5-A0GD-01	1.573
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GE	TCGA-A5-A0GE-01	2.9731
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GG	TCGA-A5-A0GG-01	3.0219
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GH	TCGA-A5-A0GH-01	0.7049
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GI	TCGA-A5-A0GI-01	-0.6266
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GJ	TCGA-A5-A0GJ-01	-1.4163
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GM	TCGA-A5-A0GM-01	0.6474
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GN	TCGA-A5-A0GN-01	0.529
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GP	TCGA-A5-A0GP-01	0.5341
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GQ	TCGA-A5-A0GQ-01	2.4728
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GR	TCGA-A5-A0GR-01	2.3634
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GU	TCGA-A5-A0GU-01	1.6817
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GV	TCGA-A5-A0GV-01	0.9058
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GW	TCGA-A5-A0GW-01	0.1569
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0GX	TCGA-A5-A0GX-01	-1.3552
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0R6	TCGA-A5-A0R6-01	-0.5889
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0R7	TCGA-A5-A0R7-01	0.4441
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0R8	TCGA-A5-A0R8-01	2.8021
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0R9	TCGA-A5-A0R9-01	0.8139
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0RA	TCGA-A5-A0RA-01	3.2268
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0VO	TCGA-A5-A0VO-01	1.3855
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0VP	TCGA-A5-A0VP-01	3.1886
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A0VQ	TCGA-A5-A0VQ-01	0.4585
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A1OF	TCGA-A5-A1OF-01	0.2099
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A1OG	TCGA-A5-A1OG-01	-1.2917
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A1OH	TCGA-A5-A1OH-01	-0.7762
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A1OJ	TCGA-A5-A1OJ-01	0.7114
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A1OK	TCGA-A5-A1OK-01	2.0044
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A2K2	TCGA-A5-A2K2-01	-1.626
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A2K3	TCGA-A5-A2K3-01	-0.0857
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A2K4	TCGA-A5-A2K4-01	-0.6529
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A2K5	TCGA-A5-A2K5-01	-0.6913
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A2K7	TCGA-A5-A2K7-01	-0.7734
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A3LO	TCGA-A5-A3LO-01	0.37
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A3LP	TCGA-A5-A3LP-01	-1.0904
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A7WJ	TCGA-A5-A7WJ-01	0.2867
ucec_tcga_pan_can_atlas_2018	TCGA-A5-A7WK	TCGA-A5-A7WK-01	-1.9544
ucec_tcga_pan_can_atlas_2018	TCGA-A5-AB3J	TCGA-A5-AB3J-01	-0.3914
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A23M	TCGA-AJ-A23M-01	0.609
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A23N	TCGA-AJ-A23N-01	-1.2148
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A23O	TCGA-AJ-A23O-01	0.3076
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A2QK	TCGA-AJ-A2QK-01	1.4719
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A2QL	TCGA-AJ-A2QL-01	4.0849
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A2QM	TCGA-AJ-A2QM-01	-0.7255
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A2QN	TCGA-AJ-A2QN-01	4.5764
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A2QO	TCGA-AJ-A2QO-01	2.541
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3BD	TCGA-AJ-A3BD-01	-1.3115
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3BF	TCGA-AJ-A3BF-01	-0.7394
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3BG	TCGA-AJ-A3BG-01	-1.7518
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3BH	TCGA-AJ-A3BH-01	0.7743
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3BI	TCGA-AJ-A3BI-01	-0.8474
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3BK	TCGA-AJ-A3BK-01	0.1168
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3EJ	TCGA-AJ-A3EJ-01	-0.8884
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3EK	TCGA-AJ-A3EK-01	-0.2199
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3EL	TCGA-AJ-A3EL-01	0.2156
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3EM	TCGA-AJ-A3EM-01	0.3739
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3I9	TCGA-AJ-A3I9-01	1.6055
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3IA	TCGA-AJ-A3IA-01	-1.7111
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3NC	TCGA-AJ-A3NC-01	0.962
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3NE	TCGA-AJ-A3NE-01	1.4061
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3NF	TCGA-AJ-A3NF-01	-0.7164
ucec_tcga_pan_can_atlas_2018	TCGA-AJ-A3NG	TCGA-AJ-A3NG-01	0.9229
